text,label,source,url
Pemerintah Indonesia mengumumkan program vaksinasi COVID-19 tahap ketiga akan dimulai bulan depan. Program ini menargetkan 10 juta penerima vaksin.,0,sample,
Konferensi tentang perkembangan budaya akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
Konferensi tentang perkembangan teknologi akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
"Bank Indonesia mencatat inflasi berada pada level 3.5% pada bulan Desember 2023, sesuai dengan target yang ditetapkan.",0,sample,
Pemerintah Kota Jakarta membangun tiga sekolah baru di daerah pinggiran untuk tahun ajaran 2024/2025.,0,sample,
PT Kereta Api Indonesia menambah jumlah perjalanan kereta selama musim liburan Natal dan Tahun Baru untuk mengakomodasi lonjakan penumpang.,0,sample,
Konferensi tentang perkembangan politik akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
Kementerian Pendidikan dan Kebudayaan meluncurkan program beasiswa untuk 10.000 mahasiswa berprestasi dari keluarga kurang mampu.,0,sample,
Konferensi tentang perkembangan lingkungan akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
Konferensi tentang perkembangan hiburan akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
Konferensi tentang perkembangan pendidikan akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
"Timnas Indonesia akan bertanding dalam kualifikasi Piala Dunia minggu depan di Stadion Gelora Bung Karno, Jakarta.",0,sample,
"Indeks Harga Saham Gabungan ditutup menguat 0.5% pada perdagangan hari ini, didorong oleh kenaikan saham-saham sektor perbankan.",0,sample,
Konferensi tentang perkembangan hukum akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
Harga cabai rawit mengalami kenaikan 20% akibat cuaca ekstrem di daerah produsen utama seperti Brebes dan Cianjur.,0,sample,
Konferensi tentang perkembangan olahraga akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
"Ekspor komoditas kelapa sawit Indonesia meningkat 15% pada kuartal terakhir tahun 2023, didorong oleh permintaan global yang tinggi.",0,sample,
Konferensi tentang perkembangan ekonomi akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
Konferensi tentang perkembangan kesehatan akan diadakan di Jakarta minggu depan dengan menghadirkan para pakar dari berbagai negara.,0,sample,
"Badan Meteorologi, Klimatologi, dan Geofisika memprediksi hujan dengan intensitas sedang akan turun di wilayah Jakarta dan sekitarnya besok.",0,sample,
